Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal
Collection,Ramakatane Archive,ark:/21198/z12r5hwv,,asfds/,,,,1968,1968.0,,,"Mohlouoa T. Ramakatane (b. 1937) has been well regarded as the portraitist of Lesotho. For many decades, many people have come through his photography studio to have their portraits taken; he was even the official portraitist for the royal family. One of the most remarkable experiences of Ramakatane’s career and life was after his time photographing Sharpeville. While travelling through the town, the photographer was shot and left for dead. By the time his family came to identify him at the mortuary, Ramakatane suddenly became conscious. After an eventful career, Ramakatane has expressed his support to digitally preserve his work with this project. (Read more about Ramakatane.) The Ramakatane archive provides a unique perspective of Lesotho’s social history and visual culture from a period spanning nearly 55 years. His photographic work is an exemplary portfolio of “vernacular photography.” The collection contains a hefty total of approximately 10,000 negatives, prints, article fragments, magazines, calendars, and some of Ramakatane’s personal papers. These materials serve as vital resources for Lesotho’s articulation of identity, sense of history, and memory. Ramakatane’s photographic archive reflects the evolving identity of a nation. A particular aspect highlighted in the collection is Lesotho’s identity tied to South Africa. For instance, the history of Lesotho and its socio-economic operations are largely linked to South Africa. For most of the twentieth century, Lesotho workers migrated to South Africa to work in the mines. Since then, it was the main source of income for Lesotho. Today, approximately half of Lesotho’s working population work as migrant workers in South Africa. Due to Lesotho’s unique relationship with South Africa, much of its history is often underrepresented. The Ramakatane archive emphasizes Lesotho’s history and cultural memory as distinct and separate from those of South Africa. In addition to being a resource for documenting key moments in Lesotho’s history, this collection will be helpful in several scholarly disciplines, particularly African history at large, historians of photography, and current work in vernacular photography.",,,,,,,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence,,
Work,Ramakatane archive 1195,ark:/21198/z14q9m3k,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_005.tif,,Ramakatane Archive (Lesotho National Museum),"Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands clasped in her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_05,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1196,ark:/21198/z10z8vg6,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_006.tif,,Ramakatane Archive (Lesotho National Museum),"Miss Butha Buthe dressed in a fancy dress with sash and crown on her head seated with her gloved hands on her thighs, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_06,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1197,ark:/21198/z1w972b1,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_006a.tif,,Ramakatane Archive (Lesotho National Museum),"Elderly man in a fedora and suit with lace pocket square seated and looking warmly at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_06a,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1198,ark:/21198/z1rj69p6,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_007.tif,,Ramakatane Archive (Lesotho National Museum),"Young man in a suit and tie with mokorotlo on his head looking into the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1199,ark:/21198/z1ms5k0b,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_009.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman with short relaxed hair wearing floral dress and sleeveless turtleneck facing the camera and smiling with hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_09,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1200,ark:/21198/z1h14t5k,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0002_010.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman with short hair wearing floral dress and sleeveless turtleneck with hands clasped on her left hip, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_02_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1201,ark:/21198/z1c842ds,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0003_007.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in a fancy dress and cape wearing a small crown on her head and touching the fold of her dress, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_03_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1202,ark:/21198/z17h39p2,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0004_001.tif,,Ramakatane Archive (Lesotho National Museum),"Man with pipe in his mouth gazing into the distance with right hand over left hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_04_01,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1203,ark:/21198/z13r2k1n,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0004_008.tif,,Ramakatane Archive (Lesotho National Museum),"Young man in checked jacket and battersby hat seated with one hand on the temple of his face with elbow on his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_04_08,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1204,ark:/21198/z1030hp3,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0010_001.tif,,Ramakatane Archive (Lesotho National Museum),"Smiling woman in a headwrap wearing a blazer and seated with her hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_10_01,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1205,ark:/21198/z1vb019j,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0010_008.tif,,Ramakatane Archive (Lesotho National Museum),"Seated man in spectacles wearing a suit and a battersby, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_10_08,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1206,ark:/21198/z1qj98hc,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0011_007.tif,,Ramakatane Archive (Lesotho National Museum),"Seated woman in a checked beanie holding guitar and half smiling to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_11_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1207,ark:/21198/z1ks8hqr,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0011_012.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in underwear and beret standing bare-footing with her hands on her hips, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_11_12,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1208,ark:/21198/z1g17rzw,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0012_017.tif,,Ramakatane Archive (Lesotho National Museum),"Man in swimming trunks standing with his hands hanging loosely on sides, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_12_17,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1209,ark:/21198/z1b8719v,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0012_017a.tif,,Ramakatane Archive (Lesotho National Museum),"Bride in a long veil kneeling with bouquet in one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_12_17a,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1210,ark:/21198/z16h68n1,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0013_001.tif,,Ramakatane Archive (Lesotho National Museum),"Bride and groom holding hands and wearing satin gloves with bride holding bouquet in one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_13_01,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples,,
Work,Ramakatane archive 1211,ark:/21198/z12v4784,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0016_013.tif,,Ramakatane Archive (Lesotho National Museum),"Man in suit holding hand of woman with flower tiara and satin gloves on her hands, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_16_13,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples,,
Work,Ramakatane archive 1212,ark:/21198/z1z33qw3,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0017_007.tif,,Ramakatane Archive (Lesotho National Museum),"Moustached man in sunglasses and battersby hat wearing a suit in a walking pose, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_17_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1213,ark:/21198/z1tb304q,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0026_006.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman wearing short shorts with stockings and closed shoes standing with her hands on her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_26_06,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1214,ark:/21198/z1pk279n,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0030_013.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in sunglasses and turtleneck wearing shorts and long gladiator sandals, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_30_13,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1215,ark:/21198/z1jt1gjg,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0045_010.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in spectacles and two piece dress suit seated with her hands clasped on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_45_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1216,ark:/21198/z1f20qvh,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0048_010.tif,,Ramakatane Archive (Lesotho National Museum),"Smiling teen girl wearing satin gloves and knee high fancy socks standing, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_48_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
