Object Type,Title,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal
Work,Ramakatane archive 1217,ark:/21198/z199007x,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0051_009.tif,,Ramakatane Archive (Lesotho National Museum),"Man in a suit and battersby hat smiling with eyes looking away from the camera, hand on his cheek with elbow leaning on his thigh, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_51_09,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1218,ark:/21198/z15m7xvp,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0051_010.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman in a sun hat and wig seated on a stool with her legs crossed, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_51_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1219,ark:/21198/z11v7656,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0051_012.tif,,Ramakatane Archive (Lesotho National Museum),"Man in Victorian heritage blanket and traditional sun hat standing with molamu held as if about to strike, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_51_12,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1220,ark:/21198/z1x36ppt,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0055_010.tif,,Ramakatane Archive (Lesotho National Museum),"Photo board of BCP members of parliament 1965, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_55_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1221,ark:/21198/z1sb5xw6,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0056_007.tif,,Ramakatane Archive (Lesotho National Museum),"Moustached man in a traditional blanket and beanie holding up a framed photograph of King Moshoeshoe II to the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_56_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1222,ark:/21198/z1nk5658,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0057_002.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in sunglasses and sun hat dressed in a swimsuit standing barefoot with one leg raised on a dressing stool and arm on her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_57_02,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1223,ark:/21198/z1ht4fhf,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0057_008.tif,,Ramakatane Archive (Lesotho National Museum),"Young girl with fur hat holding and camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_57_08,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Girls,,
Work,Ramakatane archive 1224,ark:/21198/z1d52d3d,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0067_005.tif,,Ramakatane Archive (Lesotho National Museum),"Middle-aged woman in LECSA Mothers' Union uniform standing with one hand on her thigh and the other holding onto her purse, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_67_05,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1225,ark:/21198/z18d1nfk,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0070_010.tif,,Ramakatane Archive (Lesotho National Museum),"Woman sitting with her hand raised to her chin and elbow leaning on leg crossed over her knee, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_70_10,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1226,ark:/21198/z14n0wt6,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a10_0071_012.tif,,Ramakatane Archive (Lesotho National Museum),"Elderly woman in LECSA Mothers' Union uniform and black stockings standing with her hands hanging loosely on either side and looking into  the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1970,1970,,,,6 x 6cm,1 negative,,black-and-white photographs,,A10_Ramakatane_71_12,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1227,ark:/21198/z10w051c,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0001_012.tif,,Ramakatane Archive (Lesotho National Museum),"Man in a gold shirt holding boxing gloves to his chest, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_01_12,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1228,ark:/21198/z1w39nh0,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0002_001.tif,,Ramakatane Archive (Lesotho National Museum),"Young woman dressed in turtleneck holding magazine as if reading, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_02_01,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Youth,,
Work,Ramakatane archive 1229,ark:/21198/z1rb8wrt,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0004_001.tif,,Ramakatane Archive (Lesotho National Museum),"Middle-aged man with a moustache dressed in a thin plaid blazer holding a folded magazine in his lap, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_04_01,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1230,ark:/21198/z1mk853s,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0005_006.tif,,Ramakatane Archive (Lesotho National Museum),"Clean cut young man with scar on his eyebrow dressed in a striped suit with his eyes fixed on the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_05_06,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1231,ark:/21198/z1gx63p1,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0008_008.tif,,Ramakatane Archive (Lesotho National Museum),"Woman in plaid dress with ribbon on her neck seated with her arms folded and looking at the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_08_08,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1232,ark:/21198/z1c55c1x,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0010_006.tif,,Ramakatane Archive (Lesotho National Museum),"Man dressed in cap and overalls with a cigarette in his mouth while touching bottle on top radiogram with one hand, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_10_06,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men,,
Work,Ramakatane archive 1233,ark:/21198/z17d4mdj,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0022_002.tif,,Ramakatane Archive (Lesotho National Museum),"Three young girls dressed in matching dashiki print shirts and short hair standing in a row and smiling for the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_22_02,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Girls,,
Work,Ramakatane archive 1234,ark:/21198/z13n3vnc,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0022_007.tif,,Ramakatane Archive (Lesotho National Museum),"Side shot of woman in large sunglasses dressed in a print dress with lace scarf and her hand on her strapped purse, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_22_07,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women,,
Work,Ramakatane archive 1235,ark:/21198/z1zw3c3k,ark:/21198/z12r5hwv,asfds/lnm_ramakatane_a11_0025_002.tif,,Ramakatane Archive (Lesotho National Museum),"Teen in sunglasses dressed in leather jacket with shorts and striped polo shirt, one hand tucked into his pocket and another holding a hat, photographed in Mr. M.T. Ramakatane's City Centre Studio",1971,1971,,,,6 x 6cm,1 negative,,black-and-white photographs,,A11_Ramakatane_25_02,M.T. Ramakatane,,,,,Lesotho National Museum|~|Photography Legacy Project,still image,copyrighted,https://www.plparchive.com/contact/,,Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens,,
